Rank,Name,Platform,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,reputation
1,Tether,Ethereum,"$81,457,119,076",$1.00,"81,451,868,888 USDT *","$21,892,704,134",0.04%,-0.02%,-0.01%,ok
2,USD Coin,Ethereum,"$30,799,471,427",$0.9999,"30,799,972,706 USDC *","$3,680,449,739",0.03%,-0.01%,0.04%,ok
3,Binance USD,BNB Beacon Chain (BEP2),"$6,442,726,630",$0.9996,"6,445,097,630 BUSD *","$2,152,710,564",0.00%,-0.07%,-0.06%,ok
5,Dai,Ethereum,"$4,961,634,608",$0.9988,"4,967,412,399 DAI *","$85,257,186",-0.02%,-0.20%,-0.10%,ok
6,Wrapped Bitcoin,Ethereum,"$4,229,372,753","$27,408.02","154,311 WBTC *","$98,657,763",-0.17%,-1.20%,-8.66%,ok
7,Chainlink,Ethereum,"$3,664,288,550",$7.09,"517,099,970 LINK *","$216,893,499",0.13%,-0.67%,-13.02%,ok
9,Uniswap,Ethereum,"$3,107,268,249",$5.38,"577,501,036 UNI *","$74,086,290",-0.31%,-2.61%,-13.17%,ok
12,TrueUSD,Ethereum,"$2,133,369,012",$0.9994,"2,134,747,937 TUSD *","$1,274,695,658",-0.04%,-0.20%,-0.13%,ok
14,Lido DAO,Ethereum,"$1,810,387,930",$2.07,"873,380,407 LDO *","$39,808,285",0.95%,-0.85%,-18.03%,ok
16,Arbitrum,Arbitrum,"$1,663,919,841",$1.31,"1,275,000,000 ARB *","$725,593,020",-0.93%,-9.69%,-20.05%,ok
19,The Graph,Ethereum,"$1,211,084,678",$0.1355,"8,937,690,024 GRT *","$30,973,479",-0.24%,-3.28%,-17.58%,ok
21,Decentraland,Ethereum,"$1,035,761,463",$0.5514,"1,878,271,532 MANA *","$63,941,711",-0.21%,-3.19%,-16.55%,ok
23,Pax Dollar,Ethereum,"$965,024,503",$0.9954,"969,514,797 USDP *","$21,998,231",0.01%,-0.66%,-0.46%,ok
26,Rocket Pool,Ethereum,"$880,359,159",$45.55,"19,329,236 RPL *","$9,554,210",-0.50%,-2.48%,-21.86%,ok
33,Maker,Ethereum,"$667,309,508",$682.58,"977,631 MKR *","$20,966,028",-0.14%,-1.44%,-14.90%,ok
